Gender;Weight;Size;Eyes;Hair;Shoesize;Mathgrade;Germangrade;Englishgrade;Smoker;EduMother;SizeMother;SmokeMother;EduFather;SizeFather;SmokeFather;ZodiacSign
female;70;170;brown;brown;40;2;4;3;no;Upper Secondary;165;no;Secondary;181;no;Pisces
male;78;175;blue;blonde;45;2;3;1;yes;Secondary;160;no;Secondary;170;yes;Libra
male;68;179;brown;blonde;42;1;1;1;yes;Secondary;172;no;Secondary;175;yes;Cancer
male;91;189;brown;brown;43;2;2;1;yes;Secondary;155;no;Secondary;176;no;Aquarius
male;82;187;brown;brown;43;4;1;2;yes;Degree;168;no;Degree;174;no;Leo
male;80;189;bluegreen;darkblonde;;2;4;3;no;Degree;165;no;Upper Secondary;180;no;Aquarius
male;67;173;green;blonde;42;4;2;3;yes;Secondary;167;no;Degree;172;no;Cancer
male;70;185;blue;brown;42;1;3;3;no;Secondary;164;yes;Degree;180;no;Gemini
female;48;168;brown;black;36;2;2;2;no;Upper Secondary;155;no;Upper Secondary;179;yes;Aries
female;58;163;brown;brown;39;2;3;2;no;Secondary;160;no;Secondary;175;yes;Cancer
male;78;178;blue;brown;43;3;2;3;yes;Upper Secondary;160;no;Upper Secondary;180;no;Gemini
female;53;166;blue;brown;39;1;2;3;no;Secondary;175;no;Degree;175;no;Aries
female;60;173;brown;brown;39;;2;4;no;Degree;164;no;Degree;190;no;Aries
female;54;167;blue;darkblonde;38;2;3;;no;Degree;166;no;Upper Secondary;178;no;Taurus
male;92;176;black;black;43;;2;2;yes;Secondary;163;no;Secondary;173;yes;Gemini
female;60;168;gray;brown;37;4;1;2;yes;Secondary;172;no;Degree;175;no;Capricorn
male;60;176;brown;black;43;3;2;1;no;Secondary;;no;Secondary;176;no;Capricorn
male;70;174;blue;brown;42;1;3;4;yes;Degree;165;no;Degree;165;yes;Aquarius
female;75;183;green;red;41;2;3;;yes;Secondary;;no;;;;Sagittarius
male;80;196;blue;brown;45;2;4;4;no;Secondary;170;no;Secondary;185;no;Taurus
male;74;175;blue;brown;42;;;;no;Secondary;165;no;Secondary;168;no;Scorpio
female;60;173;blue;blonde;40;;2;4;yes;Secondary;170;no;Upper Secondary;;no;Virgo
female;65;173;blue;blonde;39;2;;4;no;Secondary;160;no;Upper Secondary;185;yes;Gemini
male;68;181;brown;brown;44;2;1;1;no;Upper Secondary;168;no;Upper Secondary;178;yes;Aquarius
male;58;168;brown;brown;41;1;3;4;no;Secondary;160;no;Upper Secondary;;;Libra
female;70;170;blue;brown;40;1;1;3;no;Secondary;165;no;Degree;172;no;Libra
male;70;178;green;brown;41;2;3;4;no;Secondary;164;no;Secondary;168;no;Sagittarius
male;72;182;blue;blonde;44;1;1;1;no;Upper Secondary;164;no;Degree;172;no;Cancer
male;69;180;blue;blonde;43;1;1;;yes;Degree;168;no;Degree;170;no;Taurus
male;65;175;brown;black;42;4;1;1;no;Degree;160;no;Degree;170;no;Capricorn
male;90;176;gray;blonde;41;;1;;no;Secondary;165;no;Upper Secondary;167;no;Taurus
